experiment,description,model_name,split,subset,seq_len,pred_len,mae,rmse,mse
A2,A1 + weather,PatchTST,val,blast_hours,24,12,0.0830654576420784,0.11880810642973406,0.014115366153419018
A2,A1 + weather,PatchTST,val,non_event_hours,24,12,0.066432885825634,0.08500176303889866,0.007225299719721079
A2,A1 + weather,PatchTST,val,rain_hours,24,12,0.06731382012367249,0.0799287705788785,0.006388608366250992
A2,A1 + weather,STGCN,test,blast_hours,24,12,0.05844134837388992,0.07535218620239921,0.005677951965481043
A2,A1 + weather,STGCN,test,non_event_hours,24,12,0.15222862362861633,0.49535283005721226,0.2453744262456894
A2,A1 + weather,STGCN,test,rain_hours,24,12,0.15531116724014282,0.4137386819207673,0.17117969691753387
A2,A1 + weather,STGCN,val,blast_hours,24,12,0.0830375924706459,0.12161476966045845,0.014790152199566364
A2,A1 + weather,STGCN,val,non_event_hours,24,12,0.07158412784337997,0.09283599250346893,0.008618521504104137
A2,A1 + weather,STGCN,val,rain_hours,24,12,0.07894913107156754,0.09815005386528873,0.009633433073759079
A2,A1 + weather,TCN,test,blast_hours,24,12,0.045727431774139404,0.0718508720068206,0.005162547808140516
A2,A1 + weather,TCN,test,non_event_hours,24,12,0.17993034422397614,0.5457826058157684,0.2978786528110504
A2,A1 + weather,TCN,test,rain_hours,24,12,0.13774093985557556,0.4213097635770811,0.17750191688537598
A2,A1 + weather,TCN,val,blast_hours,24,12,0.07940585166215897,0.1347591702670777,0.018160033971071243
A2,A1 + weather,TCN,val,non_event_hours,24,12,0.05516080930829048,0.07899899367252852,0.0062408410012722015
A2,A1 + weather,TCN,val,rain_hours,24,12,0.04221588000655174,0.055763363104123026,0.003109552664682269
A2,A1 + weather,TimeFilter,test,blast_hours,24,12,0.11158932745456696,0.16883480448927604,0.028505191206932068
A2,A1 + weather,TimeFilter,test,non_event_hours,24,12,0.16768698394298553,0.4915037855864039,0.24157597124576569
A2,A1 + weather,TimeFilter,test,rain_hours,24,12,0.1519560068845749,0.4251550216404709,0.18075679242610931
A2,A1 + weather,TimeFilter,val,blast_hours,24,12,0.07967986166477203,0.13484340993677005,0.018182745203375816
A2,A1 + weather,TimeFilter,val,non_event_hours,24,12,0.0432676263153553,0.07511397706509541,0.005642109550535679
