experiment,description,seq_len,pred_len,split,feature_count,sample_count,row_count,mae,rmse,mse
A3,A2 + blast V2,24,12,test,21,117,35919,1.898687429502388e-08,2.363478667007253e-08,5.586031409398381e-16
A3,A2 + blast V2,24,12,val,21,117,35919,1.898687429502388e-08,2.363478667007253e-08,5.586031409398381e-16
A3,A2 + blast V2,48,1,test,21,128,39296,5.385961898696223e-08,5.5127744747126047e-08,3.0390682409042833e-15
A3,A2 + blast V2,48,1,val,21,128,39296,5.385961898696223e-08,5.5127744747126047e-08,3.0390682409042833e-15
A3,A2 + blast V2,48,3,test,21,126,38682,3.1933204525103065e-08,3.664697686604502e-08,1.3430009134204391e-15
A3,A2 + blast V2,48,3,val,21,126,38682,3.1933204525103065e-08,3.664697686604502e-08,1.3430009134204391e-15
A3,A2 + blast V2,48,6,test,21,123,37761,2.5464629516136483e-08,2.98315149492105e-08,8.899192841649696e-16
A3,A2 + blast V2,48,6,val,21,123,37761,2.5464629516136483e-08,2.98315149492105e-08,8.899192841649696e-16
A3,A2 + blast V2,48,12,test,21,117,35919,2.322221170913963e-08,2.7922618057487784e-08,7.796725991843429e-16
A3,A2 + blast V2,48,12,val,21,117,35919,2.322221170913963e-08,2.7922619953425956e-08,7.796727050634613e-16
A3,A2 + blast V2,96,1,test,21,128,39296,5.496012533967587e-08,5.570329453104712e-08,3.1028570216125838e-15
A3,A2 + blast V2,96,1,val,21,128,39296,5.496012533967587e-08,5.570329453104712e-08,3.1028570216125838e-15
A3,A2 + blast V2,96,3,test,21,126,38682,1.7129863749687502e-08,2.03054288182548e-08,4.123104394932126e-16
A3,A2 + blast V2,96,3,val,21,126,38682,1.7129863749687502e-08,2.03054288182548e-08,4.123104394932126e-16
A3,A2 + blast V2,96,6,test,21,123,37761,2.8302450161277193e-08,3.069646582599076e-08,9.422730142062186e-16
A3,A2 + blast V2,96,6,val,21,123,37761,2.8302450161277193e-08,3.069647789828741e-08,9.422737553600475e-16
A3,A2 + blast V2,96,12,test,21,117,35919,2.40152946417993e-08,2.902493399200953e-08,8.424467932405103e-16
A3,A2 + blast V2,96,12,val,21,117,35919,2.40152946417993e-08,2.9024932168075638e-08,8.424466873613919e-16
A4,A2 + blast V3,24,1,test,18,128,39296,1.4901161193847656e-08,1.4901161193847656e-08,2.220446049250313e-16
A4,A2 + blast V3,24,1,val,18,128,39296,1.4901161193847656e-08,1.4901161193847656e-08,2.220446049250313e-16
A4,A2 + blast V3,24,3,test,18,126,38682,1.6016214132719142e-08,2.0120040365884074e-08,4.0481602432480455e-16
A4,A2 + blast V3,24,3,val,18,126,38682,1.6016214132719142e-08,2.0120040365884074e-08,4.0481602432480455e-16
A4,A2 + blast V3,24,6,test,18,123,37761,1.5024792077156235e-08,1.8375867780579622e-08,3.376725166893442e-16
A4,A2 + blast V3,24,6,val,18,123,37761,1.5024792077156235e-08,1.8375867780579622e-08,3.376725166893442e-16
